title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Jane Fonda in Five Acts",movie,"Biography, Documentary",2018,tt7689958,8,2774,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
"Iceman: The Time Traveller",movie,"Action, Adventure, Comedy",2018,tt2993848,4,1115,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Stories from the Chestnut Woods",movie,Drama,2019,tt5905336,6.5,488,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Traffic Stop",movie,"Documentary, Short",2017,tt7874708,5.5,1078,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, PA, PE, PH, PL, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
Judy,movie,"Biography, Drama, Music",2019,tt7549996,6.8,55942,"CZ, SK"
"Instant Family",movie,"Comedy, Drama",2018,tt7401588,7.3,125161,"DK, FI, NO, SE"
"Gloria Bell",movie,"Comedy, Drama, Music",2018,tt6902696,6.3,13304,US
"Notes from the Field",movie,Drama,2018,tt7722000,6.7,373,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, PA, PE, PH, PL, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
"The Anniversary",movie,,2017,,,,"MD, RO"
"Deep Blue Sea 2",movie,"Action, Horror, Sci-Fi",2018,tt7086706,3.5,8575,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
