title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Fifth Element",movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,518955,"DK, FI, NO, SE"
Jarhead,movie,"Biography, Drama, War",2005,tt0418763,7,212609,"HK, ID, MY, PH, SG, TH, TW"
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,446336,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, US, UY, VE"
"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1112374,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"A History of Violence",movie,"Action, Crime, Drama",2005,tt0399146,7.4,260089,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"2001: A Space Odyssey",movie,"Adventure, Sci-Fi",1968,tt0062622,8.3,740662,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PT, PY, SE, SV, TC, TT, US, UY, VE"
"Absolute Power",movie,"Action, Crime, Drama",1997,tt0118548,6.7,61516,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,146329,"FR, MC"
"American History X",movie,"Crime, Drama",1998,tt0120586,8.5,1213855,NL
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,249348,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Before Sunrise",movie,"Drama, Romance",1995,tt0112471,8.1,351084,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,841591,"AD, BA, BE, BG, CZ, DK, ES, FI, FR, HR, HU, MC, MD, ME, MK, NO, PL, PT, RO, RS, SE, SI, SK"
"Before Sunset",movie,"Drama, Romance",2004,tt0381681,8.1,296572,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Nausicaä of the Valley of the Wind",movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8,187585,US
"Miami Vice",movie,"Action, Crime, Drama",2006,tt0430357,6.1,126193,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1703586,"BA, BE, BG, CZ, FR, HK, HR, HU, ID, MC, MD, ME, MK, MY, PH, PL, RO, RS, SG, SI, SK, TH, TW"
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,956045,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Back to the Future",movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1349366,"BE, FR, MC"
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,931305,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Three Colors: Blue",movie,"Drama, Music, Mystery",1993,tt0108394,7.8,113238,US
"Three Colors: White",movie,"Comedy, Drama, Romance",1994,tt0111507,7.6,81598,US
"Three Colors: Red",movie,"Drama, Mystery, Romance",1994,tt0111495,8.1,112289,US
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,376710,"AD, DK, ES, FI, NO, PT, SE, US"
"The Big Lebowski",movie,"Comedy, Crime",1998,tt0118715,8.1,878439,"BE, FR, MC"
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,542964,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"The Lord of the Rings: The Fellowship of the Ring",movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2067829,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
"The Lord of the Rings: The Two Towers",movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1838092,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
"The Lord of the Rings: The Return of the King",movie,"Adventure, Drama, Fantasy",2003,tt0167260,9,2038403,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
"Princess Mononoke",movie,"Adventure, Animation, Fantasy",1997,tt0119698,8.3,449291,US
"Spirited Away",movie,"Adventure, Animation, Family",2001,tt0245429,8.6,885447,US
"Groundhog Day",movie,"Comedy, Drama, Fantasy",1993,tt0107048,8,702678,"FR, MC"
"Brokeback Mountain",movie,"Drama, Romance",2005,tt0388795,7.7,394783,US
"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,79562,US
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,tt0190332,7.9,285353,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"The 400 Blows",movie,"Crime, Drama",1959,tt0053198,8,130188,US
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,2959073,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, NL, PA, PE, PH, PL, PT, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
"Ocean's Eleven",movie,"Crime, Thriller",2001,tt0240772,7.7,634967,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,421695,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
"Back to the Future Part II",movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,588058,"BE, FR, MC"
Saw,movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,482052,US
"The Interpreter",movie,"Crime, Mystery, Thriller",2005,tt0373926,6.4,111972,"FR, HK, ID, MC, MY, PH, SG, TH, TW"
"The Good German",movie,"Drama, Mystery, Romance",2006,tt0452624,6,26317,PT
"A Clockwork Orange",movie,"Crime, Sci-Fi",1971,tt0066921,8.2,899652,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Sin City",movie,"Crime, Thriller",2005,tt0401792,8,801735,"FR, HK, ID, MC, MY, PH, SG, TH, TW"
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,809026,US
"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.4,492779,"BE, FR, MC"
Braveheart,movie,"Biography, Drama, War",1995,tt0112573,8.3,1113945,"AD, ES, PT"
"To Be or Not to Be",movie,"Comedy, Romance, War",1942,tt0035446,8.1,45372,US
"Mean Streets",movie,"Crime, Drama, Thriller",1973,tt0070379,7.2,122445,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Wages of Fear",movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,68905,US
"North by Northwest",movie,"Adventure, Drama, Mystery",1959,tt0053125,8.3,355875,"BE, FR, MC"
"Saw III",movie,"Horror, Mystery, Thriller",2006,tt0489270,6.2,218280,US
"Saw II",movie,"Horror, Mystery",2005,tt0432348,6.6,283994,US
"Ali: Fear Eats the Soul",movie,"Drama, Romance",1974,tt0071141,8,24602,US
"The Terminator",movie,"Action, Adventure, Sci-Fi",1984,tt0088247,8.1,949091,"HK, ID, MY, PH, SG, TH, TW"
"East of Eden",movie,Drama,1955,tt0048028,7.8,49695,"BE, FR, MC"
"Rebel Without a Cause",movie,Drama,1955,tt0048545,7.6,99659,"BE, FR, MC"
"Berlin: Symphony of Metropolis",movie,Documentary,1927,tt0017668,7.6,4898,US
"Bride of Frankenstein",movie,"Drama, Horror, Sci-Fi",1935,tt0026138,7.8,55048,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Syriana,movie,"Drama, Thriller",2005,tt0365737,6.9,135693,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2078065,"AD, ES, PT"
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1402411,"AD, ES, PT"
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,433264,"AD, ES, PT"
"About a Boy",movie,"Comedy, Drama, Romance",2002,tt0276751,7.1,194081,"FR, MC, NL"
"Willy Wonka & the Chocolate Factory",movie,"Adventure, Comedy, Family",1971,tt0067992,7.8,233459,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"King Kong",movie,"Action, Adventure, Romance",2005,tt0360717,7.2,454540,"BE, FR, MC"
"The 39 Steps",movie,"Crime, Mystery, Thriller",1935,tt0026029,7.6,62916,US
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,414575,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
Breathless,movie,"Crime, Drama",1960,tt0053472,7.7,89932,US
"Batman Begins",movie,"Action, Drama",2005,tt0372784,8.2,1618867,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, NL, PA, PE, PH, PL, PT, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
Underworld,movie,"Action, Fantasy, Thriller",2003,tt0320691,7,290700,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,2978542,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1209779,"FR, MC, NL"
Casablanca,movie,"Drama, Romance, War",1942,tt0034583,8.5,621670,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
"Meet Joe Black",movie,"Drama, Fantasy, Romance",1998,tt0119643,7.2,273658,"BE, FR, HK, ID, MC, MY, PH, SG, TH, TW"
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,373654,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
"Rio Bravo",movie,Western,1959,tt0053221,8,69850,"BE, FR, MC"
"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,30494,US
"Bruce Almighty",movie,"Comedy, Fantasy",2003,tt0315327,6.8,444911,"DK, FI, NO, SE"
Catwoman,movie,"Action, Crime, Fantasy",2004,tt0327554,3.4,127889,"AD, BE, ES, FR, MC, PT"
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,496612,"BE, FR, MC, PT"
"Snakes on a Plane",movie,"Action, Adventure, Crime",2006,tt0417148,5.5,146295,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1097613,US
"The Lost World: Jurassic Park",movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,452900,US
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,347601,US
Magnolia,movie,Drama,1999,tt0175880,8,334264,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Night on Earth",movie,"Comedy, Drama",1991,tt0102536,7.7,67704,US
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,389051,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Seven Samurai",movie,"Action, Drama",1954,tt0047478,8.6,377665,US
"The Devil Wears Prada",movie,"Comedy, Drama",2006,tt0458352,6.9,487810,"AD, ES, PT, US"
"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,335759,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
"A Nightmare on Elm Street",movie,Horror,1984,tt0087800,7.4,273439,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, NL, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Rain Man",movie,Drama,1988,tt0095953,8,556807,"BA, BG, CZ, HK, HR, HU, ID, MD, ME, MK, MY, PH, PL, RO, RS, SG, SI, SK, TH, TW"
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,405991,"AG, AR, BB, BE, BO, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Who's Afraid of Virginia Woolf?",movie,Drama,1966,tt0061184,8,81551,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"French Kiss",movie,"Comedy, Drama, Romance",1995,tt0113117,6.6,54290,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"La Strada",movie,Drama,1954,tt0047528,8,67597,US
"The English Patient",movie,"Drama, Romance, War",1996,tt0116209,7.4,206558,"HK, ID, MY, PH, SG, TH, TW"
"Batman Forever",movie,"Action, Adventure",1995,tt0112462,5.4,271412,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
"Batman & Robin",movie,"Action, Sci-Fi",1997,tt0118688,3.8,272916,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
8½,movie,Drama,1963,tt0056801,8,127600,US
"The Pianist",movie,"Biography, Drama, Music",2002,tt0253474,8.5,945292,"FR, MC"
Vertigo,movie,"Mystery, Romance, Thriller",1958,tt0052357,8.3,438451,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"My Uncle",movie,Comedy,1958,tt0050706,7.7,24760,US
"Maria Full of Grace",movie,"Crime, Drama",2004,tt0390221,7.4,36587,"AR, BA, BG, BO, BR, CL, CO, CR, CZ, DO, EC, GT, HK, HN, HR, HU, ID, MD, ME, MK, MX, MY, NI, PA, PE, PH, PL, PY, RO, RS, SG, SI, SK, SV, TH, TW, US, UY, VE"
Caché,movie,"Drama, Mystery, Thriller",2005,tt0387898,7.3,86980,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Leaving Las Vegas",movie,"Drama, Romance",1995,tt0113627,7.5,138284,US
"A Beautiful Mind",movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1008091,"HK, ID, MY, PH, SG, TH, TW"
"Erin Brockovich",movie,"Biography, Drama",2000,tt0195685,7.4,228339,"BA, BE, BG, CZ, FR, HR, HU, MC, MD, ME, MK, PL, RO, RS, SI, SK"
"Stranger Than Paradise",movie,"Comedy, Drama",1984,tt0088184,7.4,41478,US
"Bonnie and Clyde",movie,"Action, Biography, Crime",1967,tt0061418,7.7,123032,"BE, FR, MC"
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1108772,"AD, ES, HK, ID, MY, PH, SG, TH, TW"
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,204292,US
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1453178,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PY, SV, TC, TT, UY, VE"
"Cléo from 5 to 7",movie,"Comedy, Drama, Music",1962,tt0055852,7.8,28671,US
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,112037,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Marnie,movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,55363,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Love Actually",movie,"Comedy, Drama, Romance",2003,tt0314331,7.6,544653,NL
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,355202,"AG, AR, BB, BE, BO, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"One Flew Over the Cuckoo's Nest",movie,Drama,1975,tt0073486,8.7,1098984,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, NL, PA, PE, PY, SV, TC, TT, UY, VE"
Scoop,movie,"Comedy, Crime, Fantasy",2006,tt0457513,6.6,88611,"FR, MC"
"Wallace & Gromit: The Curse of the Were-Rabbit",movie,"Adventure, Animation, Comedy",2005,tt0312004,7.5,149403,"AG, AR, BB, BE, BO, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"Terminator Salvation",movie,"Action, Adventure, Sci-Fi",2009,tt0438488,6.5,382791,"HK, ID, MY, PH, SG, TH, TW, US"
Psycho,movie,"Horror, Mystery, Thriller",1960,tt0054215,8.5,740259,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Crime of Padre Amaro",movie,"Drama, Romance",2002,tt0313196,6.7,14597,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,186218,US
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,905328,"AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"Spider-Man 2",movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,731008,"AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"Spider-Man 3",movie,"Action, Adventure, Sci-Fi",2007,tt0413300,6.3,655917,"AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,385025,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, NO, PA, PE, PH, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,474354,"BE, FR, MC"
"The Ring",movie,"Horror, Mystery",2002,tt0298130,7.1,384681,"HK, ID, MY, PH, SG, TH, TW"
"Rear Window",movie,"Drama, Mystery, Thriller",1954,tt0047396,8.5,537452,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Apollo 13",movie,"Adventure, Drama, History",1995,tt0112384,7.7,322093,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"The Birds",movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,210328,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Frenzy,movie,Thriller,1972,tt0068611,7.4,50600,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Man Who Knew Too Much",movie,"Drama, Thriller",1956,tt0049470,7.4,71572,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Wild Bunch",movie,"Action, Adventure, Drama",1969,tt0065214,7.9,91971,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Da Vinci Code",movie,"Mystery, Thriller",2006,tt0382625,6.6,467138,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Solaris,movie,"Drama, Mystery, Sci-Fi",1972,tt0069293,7.9,100468,US
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1317134,"AD, DK, ES, FI, NO, PT, SE"
"City of God",movie,"Crime, Drama",2002,tt0317248,8.6,822973,"AD, AR, BO, BR, CL, CO, CR, DO, EC, ES, FR, GT, HN, MC, MX, NI, PA, PE, PT, PY, SV, UY, VE"
"Full Metal Jacket",movie,"Drama, War",1987,tt0093058,8.2,809581,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
"Independence Day",movie,"Action, Adventure, Sci-Fi",1996,tt0116629,7,619592,US
"The Matrix",movie,"Action, Sci-Fi",1999,tt0133093,8.7,2113279,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, PA, PE, PH, PL, PT, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, UY, VE"
"The Matrix Reloaded",movie,"Action, Sci-Fi",2003,tt0234215,7.2,643725,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, PA, PE, PH, PL, PT, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, UY, VE"
